Feature,Importance
median_income,0.38873848
average_occupancy,0.117012694
longitude_squared,0.07781184
latitude_grid,0.07609722
latitude,0.058237072
longitude,0.051154055
house_age,0.047685847
distance_from_center,0.046084374
longitude_grid,0.04471388
latitude_longitude,0.035095915
average_rooms,0.028871816
average_bedrooms,0.01571801
population,0.012778758
latitude_squared,0.0
spatial_emb_1,0.0
spatial_emb_2,0.0
spatial_emb_3,0.0
spatial_emb_4,0.0
spatial_emb_5,0.0
spatial_emb_6,0.0
